index,character_id,movie_id,character_name,occourences,word_count
0,200008,100000,miss perky,19,219
1,200009,100001,music:,2,3
2,200010,100001,music starts,2,0
3,200011,100001,music stops,2,0
4,200013,100001,sfx: thunder,1,0
5,200014,100001,music restarts,1,0
6,200028,100003,astrophysicist,22,236
7,200030,100003,dr. fletcher,14,247
8,200032,100003,dr. mason,12,558
9,200039,100004,mistress epps,23,332
10,200041,100004,epps (cont'd),22,645
11,200044,100005,aron (cont'd),55,1454
12,200048,100005,title:,7,0
13,200049,100005,intercut with:,7,0
14,200050,100005,video:,6,0
15,200057,100006,arojaz,23,367
16,200060,100006,utapan,16,293
17,200068,100007,korfin,32,383
18,200076,100008,mike (cont'd),30,318
19,200078,100008,coach harvey,18,188
20,200093,100011,anheuser,40,427
21,200098,100011,adrian (cont'd),21,274
22,200105,100012,monty (cont'd),37,0
23,200106,100012,mr. brogan,27,0
24,200107,100012,mont y,25,0
25,200125,100014,(beat),16,344
26,200132,100015,parrott,24,340
27,200141,100016,colin (cont'd),15,1516
28,200142,100016,meredith (cont'd),13,413
29,200143,100016,(more),10,48
30,200148,100017,transition.,33,77
31,200158,100018,adam (cont'd),35,650
32,200159,100018,seth (cont'd),18,216
33,200161,100018,(beat),14,239
34,200167,100019,(beat),40,218
35,200168,100019,tom (v.o.),35,378
36,200174,100021,dino velvet,52,1346
37,200176,100021,mrs mathews,36,562
38,200177,100021,longdale,32,423
39,200178,100021,mary's voice,21,898
40,200179,100021,eddie (v.o.),16,198
41,200180,100022,9,41,300
42,200181,100022,1,28,302
43,200182,100022,5,22,152
44,200183,100022,(cont'd),18,165
45,200184,100022,7,17,107
46,200185,100022,9 (cont'd),12,81
47,200186,100022,6,10,57
48,200187,100022,2 (cont'd),8,38
49,200188,100022,1 (cont'd),7,57
50,200200,100024,andrew walsh,126,1284
51,200201,100024,a.d.a. lawrence,62,811
52,200202,100024,abel (cont'd),57,1244
53,200204,100024,peter forente,37,550
54,200205,100024,bill o'leary,36,482
55,200206,100024,arnold kline,22,172
56,200208,100025,nan,42,778
57,200211,100025,dr. adi,12,141
58,200214,100025,beat.,8,0
59,200215,100025,smash to:,7,0
60,200216,100026,lee (signing),13,307
61,200218,100026,evelyn (cont'd),9,124
62,200219,100026,marcus (signing),8,213
63,200221,100026,regan (signing),7,50
64,200223,100026,daughter (signing),3,129
65,200224,100026,contraction!!!,3,128
66,200225,100027,bob arctor,231,2951
67,200226,100027,jim barris,127,2219
68,200228,100027,ernie luckman,84,1452
69,200229,100027,donna hawthorne,79,1544
70,200230,100027,charles freck,74,1282
71,200249,100030,father genarro,15,212
72,200257,100031,walter sullivan,34,659
73,200266,100032,one night,32,409
74,200276,100034,kaufman (v.o.),33,1165
75,200279,100034,orlean (v.o.),21,643
76,200297,100036,(beat),31,585
77,200298,100036,mccrady,22,277
78,200299,100037,buckaroo banzai,154,2333
79,200300,100037,perfect tommy,56,661
80,200301,100037,penny priddy,54,912
81,200303,100037,secretary of defense,38,980
82,200305,100037,prof. hikita,34,435
83,200306,100037,doctor lizardo,26,504
84,200307,100037,president widmark,22,341
85,200315,100038,twombley,20,208
86,200322,100039,mrs. lewis,48,507
87,200324,100039,mr. lewis,35,466
88,200332,100040,(beat),17,211
89,200334,100040,eliot (o.c.),12,196
90,200337,100041,mother miriam,195,2126
91,200342,100041,martha (v.o.),7,130
92,200348,100042,v.p. chandler,40,541
93,200351,100042,col. carlton,32,446
